symbol,pullback_type,entry_rule,don_break_len,regime_up,trades,win_rate_pct,profit_factor,avg_pnl,median_pnl,avg_pnl_R,median_pnl_R
FARTCOINUSDT,retest,close_above_break,20,True,5.0,20.0,0.47717043936743786,-4.247155469500717,-10.14003235319501,-0.4247155469500715,-1.014003235319501
FIDAUSDT,retest,close_above_break,20,True,3.0,0.0,0.0,-8.015142529875554,-10.161693853505485,-0.8015142529875554,-1.0161693853505485
FILUSDT,retest,close_above_break,20,True,3.0,33.33333333333333,1.3414168286361083,2.366409847192456,-10.372295721229518,0.23664098471924552,-1.037229572122952
FLMUSDT,retest,close_above_break,20,True,2.0,0.0,0.0,-10.234909674203838,-10.234909674203838,-1.0234909674203836,-1.0234909674203836
FLOCKUSDT,retest,close_above_break,20,True,3.0,33.33333333333333,1.957305337141402,6.4866791310045775,-10.069613148953042,0.6486679131004576,-1.0069613148953045
FLOWUSDT,retest,close_above_break,20,True,4.0,100.0,,24.76795076659281,26.91088655304778,2.4767950766592812,2.691088655304778
FLRUSDT,retest,close_above_break,20,True,3.0,33.33333333333333,1.9416209206595878,6.423730456823069,-10.135431713034544,0.6423730456823068,-1.0135431713034544
FORMUSDT,retest,close_above_break,20,True,2.0,50.0,3.867787037803499,14.732631346029244,14.732631346029244,1.4732631346029241,1.4732631346029241
FWOGUSDT,retest,close_above_break,20,True,2.0,50.0,3.9390532595529857,14.875585054071427,14.875585054071427,1.4875585054071427,1.4875585054071427
FXSUSDT,retest,close_above_break,20,True,4.0,75.0,166.24042263542879,13.453273384439365,7.205846853444744,1.3453273384439364,0.7205846853444744
GALAUSDT,retest,close_above_break,20,True,4.0,50.0,2.7548874729078405,9.061300179603304,3.4790062654298666,0.9061300179603302,0.3479006265429867
GASUSDT,retest,close_above_break,20,True,5.0,40.0,1.2751740901071031,1.7290765761659763,-10.254554304921154,0.17290765761659763,-1.0254554304921153
GIGAUSDT,retest,close_above_break,20,True,4.0,25.0,1.3075192345247588,2.342862545041901,-10.149924663422013,0.23428625450419016,-1.0149924663422012
GLMUSDT,retest,close_above_break,20,True,3.0,33.33333333333333,1.9059510152973989,6.237486617207712,-10.206192412696495,0.6237486617207714,-1.02061924126965
GMTUSDT,retest,close_above_break,20,True,4.0,50.0,2.0848747535446788,5.628320671993906,-3.2920542418049266,0.5628320671993906,-0.32920542418049276
GMXUSDT,retest,close_above_break,20,True,3.0,33.33333333333333,1.0885415225367083,0.6145837292566737,-10.406154979907791,0.061458372925667394,-1.0406154979907791
GOATUSDT,retest,close_above_break,20,True,2.0,100.0,,25.951164227792503,25.951164227792503,2.59511642277925,2.59511642277925
GODSUSDT,retest,close_above_break,20,True,3.0,0.0,0.0,-10.082073278311391,-10.075391935324244,-1.008207327831139,-1.007539193532424
GPSUSDT,retest,close_above_break,20,True,2.0,50.0,0.5431977594238001,-2.338531144235205,-2.338531144235205,-0.23385311442352047,-0.23385311442352047
GRASSUSDT,retest,close_above_break,20,True,6.0,33.33333333333333,1.9476357407199751,6.448230007568469,-10.182459218078325,0.644823000756847,-1.0182459218078326
GRIFFAINUSDT,retest,close_above_break,20,True,3.0,66.66666666666666,5.758685104190714,16.082947903987666,18.56291561935611,1.6082947903987665,1.856291561935611
GRTUSDT,retest,close_above_break,20,True,4.0,50.0,2.572675843859802,8.165541375276288,1.7747275730754772,0.8165541375276287,0.17747275730754764
GUNUSDT,retest,close_above_break,20,True,1.0,100.0,,39.79769097910035,39.79769097910035,3.9797690979100353,3.9797690979100353
HBARUSDT,retest,close_above_break,20,True,6.0,50.0,2.83693364868586,9.463479716411735,-0.8056302365002477,0.9463479716411737,-0.08056302365002477
HFTUSDT,retest,close_above_break,20,True,2.0,50.0,3.947142428696462,14.85959668505263,14.85959668505263,1.4859596685052627,1.4859596685052627
HIFIUSDT,retest,close_above_break,20,True,2.0,0.0,0.0,-10.125448019111019,-10.125448019111019,-1.0125448019111019,-1.0125448019111019
HIVEUSDT,retest,close_above_break,20,True,4.0,0.0,0.0,-10.41002983662255,-10.409677405069818,-1.0410029836622552,-1.0409677405069817
HMSTRUSDT,retest,close_above_break,20,True,5.0,60.0,2.054010454589636,4.325469955160016,6.082029890237466,0.4325469955160017,0.6082029890237466
HNTUSDT,retest,close_above_break,20,True,3.0,33.33333333333333,0.02603765660194956,-6.729402711959693,-10.346780455788446,-0.6729402711959694,-1.034678045578845
HOMEUSDT,retest,close_above_break,20,True,1.0,0.0,0.0,-10.255456168952984,-10.255456168952984,-1.0255456168952983,-1.0255456168952983
HOOKUSDT,retest,close_above_break,20,True,1.0,0.0,0.0,-10.358093396198388,-10.358093396198388,-1.035809339619839,-1.035809339619839
HPOS10IUSDT,retest,close_above_break,20,True,3.0,33.33333333333333,1.9452970972039305,6.436510251494961,-10.185021479214656,0.643651025149496,-1.0185021479214655
HYPEUSDT,retest,close_above_break,20,True,11.0,45.45454545454545,2.1422310726762497,6.3768102153191535,-10.151229328122795,0.6376810215319153,-1.0151229328122795
ICPUSDT,retest,close_above_break,20,True,2.0,100.0,,8.085217698328693,8.085217698328693,0.8085217698328693,0.8085217698328693
ICXUSDT,retest,close_above_break,20,True,7.0,57.14285714285714,4.566722446641122,15.864384789981212,23.3299904472592,1.5864384789981212,2.33299904472592
IDEXUSDT,retest,close_above_break,20,True,1.0,0.0,0.0,-0.929586837527662,-0.929586837527662,-0.0929586837527662,-0.0929586837527662
IDUSDT,retest,close_above_break,20,True,3.0,33.33333333333333,3.0002166023618906,8.765475162682097,-2.752560925508408,0.8765475162682096,-0.2752560925508407
ILVUSDT,retest,close_above_break,20,True,5.0,60.0,2.345353489758691,5.613537614654552,3.83896234868557,0.5613537614654551,0.383896234868557
IMXUSDT,retest,close_above_break,20,True,5.0,20.0,0.9643797680823847,-0.29331685512432415,-10.258610175281817,-0.02933168551243246,-1.0258610175281817
INJUSDT,retest,close_above_break,20,True,5.0,40.0,1.5018113505407278,3.0996479379610458,-10.26470287986974,0.30996479379610453,-1.026470287986974
IOSTUSDT,retest,close_above_break,20,True,3.0,33.33333333333333,1.9154776804992069,6.251451804443936,-10.193586990676549,0.6251451804443938,-1.0193586990676549
IOTAUSDT,retest,close_above_break,20,True,5.0,60.0,5.744529021154707,19.61777955033793,39.54117802750517,1.9617779550337928,3.954117802750517
IOTXUSDT,retest,close_above_break,20,True,8.0,12.5,0.5441563713016607,-4.146565868786929,-10.391469191865578,-0.41465658687869267,-1.0391469191865579
IPUSDT,retest,close_above_break,20,True,1.0,0.0,0.0,-10.283949113405006,-10.283949113405006,-1.0283949113405009,-1.0283949113405009
JASMYUSDT,retest,close_above_break,20,True,2.0,50.0,3.846626897227507,14.730999331306407,14.730999331306407,1.4730999331306407,1.4730999331306407
